口音,余/ur5,退/thor3,雪/sorh4,梳/seu1,闲/oinn5,县/kuoinn7,买/boi2,反/poinn2,八/poih4,乌/ou1,雨/hou6,花/hue1,划/ueh8,横/huenn5,欣/hn1,根/kurn1,恩/urn1,仅/kurn2,乞/khurt4,彬/piurn1,新/sin1,七/tshit4,莹/ueng5,耿/kueng2,获/uek8,荣/iuong5,腰/io1,羊/ionn5,药/ioh8,妖/iau1,晓/hiau2,跃/iauh4,坚/kian1,设/siat4,关/kuan1,决/kuat4,盐/iam5,压/iap4,凡/huam5,法/huap4,男/nam5,念/niam7,蓝/lam5,林/lim5,帘/liam5,领/liann2,篮/lann5,郎/lng5,漫/muan2,万/buan7,亡/buang5,文/bun5,清/tsheng1,色/sek4,心/sim1,级/khip4,存/tshun5,骨/kut4,甘/kam1,十/tsap8,牵/khan1,达/tat8,咸/kiam5,涩/siap4,恶/ak4,博/phak4,本/png2,问/mng7,汤/thng1,中/tiong1,续/siok8,茸/jiong5,褥/jiok8,严/ngiam5,粒/liap8,五/ngu2
潮州府城/ChaoZhou_FuCheng,ur5,tho3,soh4,siu1,oinn5,kuinn7,boi2,poinn2,poih4,ou1,hou6,hue1,ueh8,huenn5,hng1,kurng1,urng1,kurng2,khurk4,ping1,sing1,tshik4,eng5,kuang2,uak8,iong5,ie1,ienn5,ieh8,ieu1,hieu2,ieuh4,kieng1,siek4,kueng1,kuek4,iem5,iep4,huam5,huap4,lam5,liem7,lam5,lim5,liem5,niann2,nann5,nurng5,bueng2,bueng7,buang5,bung5,tsheng1,sek4,sim1,khip4,tshung5,kuk4,kam1,tsap8,khang1,tak8,kiem5,siep4,ak4,phak4,pung2,mung7,thurng1,tong1,sok8,jong5,jok8,ngiem5,liep8,u2
戏腔/XiQiang,ur5,tho3,soh4,siu1,oinn5,kuinn7,boi2,poinn2,poih4,ou1,hou6,hue1,ueh8,huenn5,hurng1,kurng1,urng1,kurng2,khurk4,ping1,sing1,tshik4,eng5,kuang2,uak8,iong5,ie1,ienn5,ieh8,iou1,hiou2,iouh4,kiang1,siak4,kuang1,kuak4,iam5,iap4,huam5,huap4,lam5,liam7,lam5,lim5,liam5,niann2,nann5,nurng5,buang2,buang7,buang5,bung5,tsheng1,sek4,sim1,khip4,tshung5,kuk4,kam1,tsap8,khang1,tak8,kiam5,siap4,ak4,phak4,purng2,murng7,thurng1,tong1,sok8,jong5,jok8,ngiam5,liap8,u2
潮安凤凰/ChaoAn_FengHuang,ur5,tho3,soh4,seu1,oinn5,kuinn7,bue2,puenn2,pueh4,ou1,hou6,hue1,ueh8,huenn5,hurn1,kurn1,urn1,kurn2,khurt4,pin1,sin1,tshit4,eng5,keng2,uak8,iong5,io1,ionn5,ioh8,iau1,hiau2,iauh4,kien1,siet4,kuan1,kuat4,iam5,iap4,huam5,huap4,lam5,liam7,lam5,lim5,liam5,niann2,nann5,nurng5,buan2,buan7,buang5,bun5,tsheng1,sek4,sim1,khip4,tshun5,kut4,kam1,tsap8,khan1,tat8,kiam5,siap4,ak4,phak4,purng2,murng7,thurng1,tong1,sok8,jong5,jok8,ngiam5,liap8,u2
潮安文祠/ChaoAn_WenCi,ur5,tho3,soh4,siu1,oinn5,kuinn7,boi2,poinn2,poih4,ou1,hou6,hue1,ueh8,huenn5,hurn1,kurn1,urn1,kurn2,khurt4,pin1,sin1,tshit4,eng5,kuang2,uak8,iong5,ie1,ienn5,ieh8,ieu1,hieu2,ieuh4,kien1,siet4,kuan1,kuat4,iem5,iep4,huam5,huap4,nam5,niem7,lam5,lim5,liem5,niann2,nann5,nurng5,buan2,buan7,buang5,bun5,tsheng1,sek4,sim1,khip4,tshun5,kut4,kam1,tsap8,khan1,tat8,kiem5,siep4,ak4,phak4,purng2,murng7,thurng1,tong1,sok8,jong5,jok8,ngiem5,liep8,u2
潮安金石/ChaoAn_JinShi,ur5,thor3,sorh4,siu1,oinn5,kuinn7,bue2,puenn2,pueh4,ou1,hou6,hue1,ueh8,huenn5,heng1,keng1,eng1,keng2,khek4,peng1,seng1,tshek4,eng5,kuang2,uak8,iong5,io1,ionn5,ioh8,iau1,hiau2,iauh4,kiang1,siak4,kuang1,kuak4,iang5,iak4,huang5,huak4,nang5,niang7,lang5,ling5,liang5,niann2,nann5,nurng5,buang2,buang7,buang5,bung5,tsheng1,sek4,sing1,khik4,tshung5,kuk4,kang1,tsak8,khang1,tak8,kiang5,siak4,ak4,phak4,pung2,mung7,thurng1,tong1,sok8,jong5,jok8,ngiang5,liak8,u2
丰顺𨻧隍/FengShun_LiuHuang,ur5,tho3,soh4,siu1,oinn5,kuinn7,boi2,poinn2,poih4,ou1,hou6,hue1,ueh8,huenn5,hurn1,kurn1,urn1,kurn2,khurt4,pin1,sin1,tshit4,en5,kuang2,uak8,iong5,ie1,ienn5,ieh8,ieu1,hieu2,ieuh4,kien1,siet4,kuen1,kuet4,iem5,iep4,huam5,huap4,lam5,liem7,lam5,lim5,liem5,niann2,nann5,nurng5,buen2,buen7,buang5,bun5,tshen1,set4,sim1,khip4,tshun5,kut4,kam1,tsap8,khan1,tat8,kiem5,siep4,ak4,phak4,purng2,murng7,thurng1,tong1,sok8,jong5,jok8,ngiem5,liep8,u2
饶平三饶/RaoPing_SanRao,ur5,tho3,soh4,seu1,oinn5,kuinn7,bue2,puenn2,pueh4,ou1,hou6,hue1,ueh8,huenn5,hurng1,kurng1,urng1,kurng2,khurk4,pin1,sin1,tshit4,eng5,kuang2,uak8,iong5,io1,ionn5,ioh8,iau1,hiau2,iauh4,kiang1,siak4,kuan1,kuat4,iam5,iap4,huam5,huap4,lam5,liam7,lam5,lim5,liam5,niann2,nann5,nurng5,muan2,muan7,muang5,mun5,tsheng1,sek4,sim1,khip4,tshun5,kut4,kam1,tsap8,khang1,tak8,kiam5,siap4,ak4,phak4,purng2,murng7,thurng1,tong1,sok8,jong5,jok8,ngiam5,liap8,u2
饶平黄冈/RaoPing_HuangGang,ur5,tho3,soh4,siu1,oinn5,kuinn7,boi2,poinn2,poih4,ou1,hou6,hue1,ueh8,huenn5,hurng1,kurng1,urng1,kurng2,khurk4,ping1,sing1,tshik4,eng5,kuang2,uak8,iong5,io1,ionn5,ioh8,iau1,hiau2,iauh4,kiang1,siak4,kuang1,kuak4,iam5,iap4,huam5,huap4,nam5,niam7,lam5,lim5,liam5,niann2,nann5,nurng5,buang2,buang7,buang5,bung5,tsheng1,sek4,sim1,khip4,tshung5,kuk4,kam1,tsap8,khang1,tak8,kiam5,siap4,ak4,phak4,purng2,murng7,thurng1,tong1,sok8,jong5,jok8,ngiam5,liap8,u2
澄海澄城/ChengHai_ChengCheng,ur5,tho3,soh4,siu1,oinn5,kuinn7,boi2,poinn2,poih4,ou1,hou6,hue1,ueh8,huenn5,hurng1,kurng1,urng1,kurng2,khurk4,ping1,sing1,tshik4,eng5,kuang2,uak8,iong5,ie1,ienn5,ieh8,iou1,hiou2,iouh4,kiang1,siak4,kuang1,kuak4,iang5,iak4,huang5,huak4,nang5,niang7,nang5,ning5,niang5,niann2,nann5,nurng5,buang2,buang7,buang5,bung5,tsheng1,sek4,sing1,khik4,tshung5,kuk4,kang1,tsak8,khang1,tak8,kiang5,siak4,ak4,phak4,pung2,mung7,thurng1,tong1,sok8,jong5,jok8,ngiang5,liak8,u2
澄海外砂/ChengHai_WaiSha,ur5,tho3,soh4,siu1,oinn5,kuinn7,boi2,poinn2,poih4,ou1,hou6,hue1,ueh8,huenn5,hurng1,kurng1,urng1,kurng2,khurk4,ping1,sing1,tshik4,eng5,kuang2,uak8,iong5,io1,ionn5,ioh8,iou1,hiou2,iouh4,kiang1,siak4,kuang1,kuak4,iang5,iak4,huang5,huak4,nang5,niang7,lang5,ling5,liang5,niann2,nann5,nurng5,buang2,buang7,buang5,bung5,tsheng1,sek4,sing1,khik4,tshung5,kuk4,kang1,tsak8,khang1,tak8,kiang5,siak4,ak4,phak4,pung2,mung7,thurng1,tong1,sok8,jong5,jok8,ngiang5,liak8,u2
