teochew,puj,mandarin,note
牛肉粿条,gu5-nek8-kue2-tiau5,,
牛肉丸,gu5-nek8-inn5,,
丸,inn5,肉丸,
肉丸,inn5,,
鱼丸,hv5-inn5,,
鲜鱼丸,tshinn1-hv5-inn5,,
菜头丸,tshai3-thau5-inn5,,
猪肉丸,tv5-nek8-inn5,,
墨斗丸,bak8-tau2-inn5,,
胡椒丸,hou5-tsio1-inn5,,
粿条,kue2-tiau5,,
炒粿条,tsha2-kue2-tiau5,,
粉签,hun2-tshiam1,粉丝,
炒粉签,tsha2-hun2-tshiam1,,
米粉,bi2-hun2,,
炒米粉,tsha2-bi2-hun2,,
面薄,minn7-poh8,扁面,
尖米圆,tsiam1-bi2-inn5,,
薯粉,tsv5-hun2,,
杂粮,tsap8-nionn5,,
粿,kue2,,
粿汁,kue2-tsap4,,
麦粿汁,beh8-kue2-tsap4,,
红粿桃,ang5-kue2-tho5,,
红桃粿,ang5-tho5-kue2,,
白桃粿,peh8-tho5-kue2,,
鼠曲粿,tshv2-khak4-kue2,,
包饭,pau1-png7,米饭馅,
包馅,pau1-ann7,咸绿豆沙馅,
包豆沙,pau1-tau7-sa1,豆沙馅,
包芋泥,pau1-ou7-ni5,芋泥馅,
包笋,pau1-sun2,笋馅,
包菜,pau1-tshai3,蔬菜馅,
包韭菜,pau1-ku1-tshai3,韭菜馅,
草粿,tshau2-kue2,烧仙草,
甜粿,tiam5-kue2,,
发粿,huat4-kue2,,
朴子粿,phok4-tsi2-kue2,,
猪𦛨粿,tv1-la5-kue2,,
咸水粿,kiam5-tsui2-kue2,,
米豆粿,bi2-tau7-kue2,,
乒乓粿,pin1-pong5-kue2,,
菜头粿,tshai3-thau5-kue2,,
无米粿,bo5-bi2-kue2,,
韭菜粿,ku1-tshai2-kue2,,
芋粿,ou7-kue2,,
鲎粿,hau7-kue2,,
栀粿,ki1-kue2,,
糕粿,ko1-kue2,,
酵粿,ka3-kue2,,
油粿,iu5-kue2,,
麦粿,beh8-kue2,,
芋泥,ou7-ni5,,
豆沙,tau7-sa1,,
绿豆沙,lek8-tau7-sa1,,
红豆沙,ang5-tau7-sa1,,
乌豆沙,ou1-tau7-sa1,黑豆沙,
狮头鹅,sai1-thau5-go5,,
卤鹅,lou2-go5,,
卤狮头鹅,lou6-sai1-thau5-go5,,
鹅卤,go5-lou2,卤鹅汤,
卤汤,lou2-thng1,,
烧鹅,sio1-go5,,
卤虾蛄,lou6-he5-kou1,,
鹅肉,go5-nek8,,
鹅头,go5-thau5,,
鹅颔,go5-am6,鹅颈,
鹅脚,go5-kha2,,
鹅肠,go5-tng5,,
鹅肝,go5-kuann1,,
鹅翼,go5-sit8,鹅翅,
鸡翼,koi1-sit8,鸡翅,
鸡脚,koi1-kha1,鸡爪,
鸡肌,koi1-kui1,鸡嗉囊,也指气球
鸡卵,koi1-nng6,鸡蛋,
粉鸟卵,hun2-tsiau2-nng6,鸽子蛋,
童子鸡,thong5-tsv2-koi1,,
猪肚,tv1-tou6,,
猪肚,tv1-tou2,,
猪肝,tv1-kuann1,,
猪肠,tv1-tng5,,
猪血,tv1-hueh4,,
猪杂,tv1-tsap8,,
猪脚,tv1-kha1,,
肾子,sian6-tsi2,肾脏,
