teochew,puj,mandarin,note
动物,tong6-mueh8,,
狮,sai1,狮子,
虎,hounn2,老虎,
象,tshionn6,大象,
犀牛,sai1-gu5,,
骆驼,loh8-thoh8,,
驴,lv5,,
骡,lo5,,
鹿,tek8,,
豺狼,tshai5-lang5,,
狐狸,hou5-lai5,,
狐狸,hu5-li5,,
蛇,tsua5,,
猴,kau5,,
熊,him5,,
熊猫,him5-ngiau1,,
孔雀,khong2-tshiak4,,
山鸡,suann1-koi1,,
凤凰,hong6-uang5,,
龙,leng5,,
鸟,tsiau2,,
鹦哥,eng1-ko1,鹦鹉,
鹰婆,eng1-po5,老鹰,
鹤,hoh8,,
麻雀,mua5-tsiah4,,
粉鸟,hun2-tsiau2,鸽子,
美翼,bue2-iah8,蝴蝶,
蝴蝶,hu5-tiap8,,
翼,iah8,飞蛾,
沙螟,sua1-menn1,蜻蜓,
唪嗄,ong6-enn1,蝉,
蛄䖲,kou1-sun5,蝉,
草蜢,tshau2-menn2,蝗虫,
蜂,phang1,,
水牛,tsui2-gu5,,
羊,ionn5,,
牛,gu5,,
马,be2,,
猪,tv1,,
狗,kau2,,
猫,ngiau1,,
鸡,koi1,,
鸭,ah4,,
鹅,go5,,
猴,kau5,,
老鼠,ngiau2-tshv2,,
吱鼠,tsih4-tshv2,盲鼠,
蜈蚣,ge5-kang1,,
水鸡,tsui2-koi1,田鸡,
蛤𧊅,kap4-kuai2,青蛙,
蛤虯,kap4-kiu2,青蛙,
蛤婆,kap4-po5,蛤蟆,
青蛙,tshenn1-ua1,,
点𧊅,tiam2-kuai2,蝌蚪,
蝌蚪,khue1-tau2,,
虼蚻,ka1-tsuah8,蟑螂,
虼蚤,ka1-tsau2,跳蚤,
檐龙,tsinn5-leng5,壁虎,
草猴,tshau2-kau5,螳螂,
土蝠,tou6-pit8,小螳螂,
灶鸡,tsau3-koi1,蟋蟀,
蝠婆,pit8-po5,蝙蝠,
马龙骑,be2-leng5-khia5,白额高脚蛛,
𮔚蜈,la5-gia5,白额高脚蛛,潮阳、惠来等地的叫法
蜘蛛,ti1-tu1,,
胡蝇,hou5-sin5,苍蝇,
金胡蝇,kim1-hou5-sin5,丽蝇,一类金属色的苍蝇
蠓,mang2,蚊子,
暗䟙蠓,am3-tshih4-mang2,小蚊子,指难以被察觉的小蚊子
蚊,bun1,蠓虫,
虫,thang5,,
蚁,hiann6,蚂蚁,
蚼蚁,kau1-hiann6,蚂蚁,
蚂蚁,ma2-hiann6,,
木虱,bak8-sat4,,
猫头鹘,ngiau1-thau5-kuh8,猫头鹰,
兔,thou3,,
狼,lang5,,
豹,pa3,,
龟,ku1,,
牛牯,gu5-kou2,公牛,
牛母,gu5-bo2,母牛,
羊牯,gu5-kou2,公羊,
羊母,gu5-bo2,母羊,
狗母蛇,kau2-bo2-tsua5,蜥蜴,
暗螺,am3-lo5,蜗牛,
蚕,tshoinn5,,
蛀蛘,tsu3-ionn5,米虫,
牛屎核,gu5-sai2-hut8,屎壳郎,
土猴,tou6-kau5,蝼蛄,
蜱蛢,pi5-pang5,金龟子,
火暝䖲,hue2-menn5-kou1,萤火虫,
火暝蛄,hue2-menn5-kou1,萤火虫,
蚯蚓,kau6-un2,,
蛄蝇,kou1-sin5,蚜虫,
蛆,tsv1,蛆虫,
