teochew,puj,mandarin,note
青果,tshenn1-kue2,水果,
柑,kann1,蜜柑,
橘,kit4,橘子,
桔,kit4,桔子,
橙,tsheng5,橙子,
弓蕉,keng1-tsio1,香蕉,
肉蕉,bah4-tsio1,,
柚,iu7,柚子,
番梨,huan1-lai5,凤梨,
桃,tho5,桃子,
梨,lai5,,
檨,suainn7,芒果,
柿,sai6,柿子,
桲仔,bat8-kiann2,番石榴,
西瓜,si1-kue1,,
芒胶,mang5-ka1,菠萝蜜,
林檎,lim5-khim5,番荔枝,
石榴,sioh8-liu5,,
榴莲,liu5-lian5,,
杨梅,ionn5-bue5,,
李,li2,李子,
柰,nai6,柰子,
杨桃,ionn5-to5,,
枇杷,pi5-pe5,,
葡萄,phu5-tho5,,
无花果,bo5-hue1-kue2,,
山竹,suann1-tek4,,
橄榄,kann1-na2,,
龙眼,nek8-oinn2,,
荔果,noinn6-kue2,荔枝,
莲角,noinn5-kak4,菱角,
蔗,tsia3,甘蔗,
梅,bue5,梅子,
枣,tso2,,
柿饼,sai6-piann2,,
冬瓜册,tang1-kue1-tsheh4,,
龙眼干,nek8-oinn2-kuann1,,
莲子,noinn5-tsi2,,
莲雾,lian5-bu7,,
香雾,hiang1-bu7,莲雾,
苹果,phin5-kue2,,
哈密瓜,hah4-bit8-kue1,,
黄弹,ng5-tuainn7,黄皮,
红毛丹,ang5-mo5-tan1,,
