teochew,puj,mandarin,note
潮州音乐,tio5-tsiu1 im1-ngauh8,,
潮剧,tio5-kiah8,,
弦诗,hinn5-si1,,
笛套,tek8-thau3,,
英歌舞,eng1-ko1-bu2,,
生,seng1,,
旦,tuann3,,
净,tseng6,,
丑,thiu2,,
丛声,tsang5-siann1,,
锣鼓,lo5-kou2,,
潮州大锣鼓,tio5-tsiu1 tua7-lo5-kou2,,
司鼓,si1-kou2,,
鼓槌,kou2-thui5,,
镲,tshenn6,,
苏锣,sou1-lo5,,
月锣,gueh8-lo5,,
深波,tshim1-po1,,
钦仔,khin1-kiann2,,
小钹,siau2-buah8,,
大钹,tua7-buah8,,
啲咊,ti1-tann5,唢呐,
笛,tek8,,
笛仔,tek8-kiann2,,
洞箫,thong5-siau1,,
冇弦,phann3-hinn5,椰胡,
椰胡,ia5-hu5,,
二胡,ji7-hu5,,
二弦,ji7-hinn5,,
三弦,sann1-hinn5,,
扬琴,iang5-khim5,,
古筝,kou2-tseng1,,
琵琶,pi5-pe5,,
阮,uan2,,
中阮,tiong1-uan2,,
月弦,gueh8-hinn5,,
梅花琴,bue5-hue1-khim5,,
大提琴,tua7-thi5-khim5,,
钢琴,kng3-khim5,,
吉他,kit4-tha2,,
加花,kia1-hue1,,
设科,siat4-khue1,,
锣鼓介,lo5-kou2-kai3,,
科介,khue1-kai3,,
工尺谱,kong1-tshe2-phou2,,
合,ho5,,
四,sv3,,
一,i1,,
上,siang6,,
尺,tshe2,,
工,kong1,,
凡,huan5,,
六,liu3,,
五,u2,,
乙,i2,,
多,toh4,,
隆,long7,,
冬,tong7,,
告,kauh4,,
主,tsuh4,,
冲,tshong7,,
壮,tshann7,,
仄,tsheh4,,
乙,ih4,,
仓,tshang7,,
焦,tsiauh4,,
空,khong7,,
哲,tiat4,,
力,lat4,,
达,tat4,,
青,tshin5,,
册,tshe7,,
村,tshng5,,
乔,kiau7,,
