teochew,puj,mandarin,note
*一叫,piang7 tsek8-kio3,,
*下叫,piang7 e6-kio3,,
**叫,piang7 piang7 kio3,,
**叫,pi7 piang7 kio3,,
***叫,pi7 piang7 liang7 kio3,,
*一叫,phiang7 tsek8-kio3,,
*下叫,phiang7 e6-kio3,,
**叫,phiang7 phiang7 kio3,,
**叫,phi7 phiang7 kio3,,
***叫,phi7 phiang7 liang7 kio3,,
*一叫,phiak4 tsek8-kio3,,
*下叫,phiak4 e6-kio3,,
**叫,phiak4 phiak4 kio3,,
**叫,phih4 phiak4 kio3,,
***叫,phih4 phiak4 liak4 kio3,,
*一叫,piak4 tsek8-kio3,,
*下叫,piak4 e6-kio3,,
**叫,piak4 piak4 kio3,,
**叫,pih4 piak4 kio3,,
***叫,pih4 piak4 liak4 kio3,,
*一叫,tong6 tsek8-kio3,,
*下叫,tong6 e6-kio3,,
**叫,tong6 tong6 kio3,,
**叫,ti6 tong6 kio3,,
***叫,ti6 tong6 long6 kio3,,
咕一叫,ku6 tsek8-kio3,,
咕下叫,ku6 e6-kio3,,
咕咕叫,ku6 ku6 kio3,,
叽咕叫,ki6 ku6 kio3,,
叽咕噜叫,ki6 ku6 lu6 kio3,,
轰一叫,hong7 tsek8-kio3,,
轰下叫,hong7 e6-kio3,,
轰轰叫,hong7 hong7 kio3,,
*轰叫,hi7 hong7 kio3,,
*轰隆叫,hi7 hong7 long7 kio3,,
亍一叫,tshoh4 tsek8-kio3,,
亍下叫,tshoh4 e6-kio3,,
亍亍叫,tshoh4 tshoh4 kio3,,
彳亍叫,tshih4 tshoh4 kio3,,
彳亍*叫,tshih4 tshoh4 loh4 kio3,,
*一叫,sok4 tsek8-kio3,,
*下叫,sok4 e6-kio3,,
**叫,sok4 sok4 kio3,,
**叫,sih4 sok4 kio3,,
***叫,sih4 sok4 lok4 kio3,,
*一叫,siauh4 tsek8-kio3,,
*下叫,siauh4 e6-kio3,,
**叫,siauh4 siauh4 kio3,,
**叫,sih4 siauh4 kio3,,
***叫,sih4 siauh4 liauh4 kio3,,
噗一叫,phuh4 tsek8-kio3,,
噗下叫,phuh4 e6-kio3,,
噗噗叫,phuh4 phuh4 kio3,,
*噗叫,phih4 phuh4 kio3,,
*噗*叫,phih4 phuh4 luh4 kio3,,
*一叫,khok4 tsek8-kio3,,
*下叫,khok4 e6-kio3,,
**叫,khok4 khok4 kio3,,
**叫,khih4 khok4 kio3,,
***叫,khih4 khok4 lok4 kio3,,
*一叫,thuh4 tsek8-kio3,,
*下叫,thuh4 e6-kio3,,
**叫,thuh4 thuh4 kio3,,
**叫,thih4 thuh4 kio3,,
***叫,thih4 thuh4 luh4 kio3,,
