teochew,puj,mandarin,note
海鲜,hai2-tshinn1,,
鱼,hv5,,
虾,he5,,
蟹,hoi6,,
马鲛,be2-ka1,,
鲨鱼,sua1-hv5,,
峇仔,buah4-kiann2,鳄鱼,
鲸鱼,kheng5-hv5,,
鳗,muann5,,
鳝,tshuann6,黄鳝,
䖳,the7,海蜇,
鳝,tshuann6,鳝鱼,
鲿,tshionn5,黄鳍鲷,
鲫鱼,tsit4-hv5,,
鲳鱼,tshionn1-hv5,,
午笋,ngou2-sun2,午鱼,
乌鱼,ou1-hv5,鲻鱼,
草鱼,tshau2-hv5,,
斑鱼,poinn1-hv5,,
䖳鱼,the7-hv5,龙头鱼,
𠕇鱼,toinn7-hv5,龙头鱼,
红目鳞,ang5-mak8-lin5,,
鹦哥鱼,eng1-ko1-hv5,,
黄花鱼,ng5-hue1-hv5,小黄鱼,
沙尖,sua1-tsiam1,,
赤目,tshiah4-mak8,赤眼鳟,
癞哥鱼,lai3-ko1-hv5,多齿蛇鲻,
那哥鱼,na3-ko1-hv5,多齿蛇鲻,
鹿仔鱼,tek8-kiann2-hv5,马面鲀,
竹仔鱼,tek4-kiann2-hv5,马面鲀,
剃皮鹿,thi3-phue5-tek5,马面鲀,
带鱼,tua3-hv5,,
鞭鱼,pian1-hv5,,
东星,tang1-seng1,石斑鱼,
过鱼,kue3-hv5,石斑鱼,
沙毛,sua1-mo5,鳗鲶,
黄粚,ng5-thi1,泥猛鱼,
巴浪,pa1-lang1,蓝圆鲹,
阔目,khuah4-mak8,竹夹鱼,
秀才鱼,siu3-tsai5-hv5,短鳍红娘鱼,
鸡腿鱼,koi1-thui2-hv5,马掌丁鱼,
非洲鲫,hui1-tsiu1-tsit4,,
钓鲤,tionn3-li2,金线鱼,
红杉鱼,ang5-sann1-hv5,金线鱼,
鲤蛄,li2-kou1,鲤鱼,
金鲤,kim1-li2,金鱼,
龙舌,leng5-tsih8,,
鞋底鱼,oi5-toi2-hv5,龙舌鱼,
花仙鱼,hue1-sian1-hv5,鲐鱼,
鲈鱼,lou5-hv5,,
鲑鱼,kuai1-hv5,河豚,
金鼓,kim1-kou2,金钱鱼,
秋刀,tshiu1-to1,,
赤岭,tshiah4-niann2,,
龙箭,leng5-tsinn3,鲮鱼,
码头鱼,be2-thau5-hv5,,
脚鱼,kha1-hv5,鳖,
鳖,pih4,,
油箸,iu5-tv7,鳗根,
鱼干,hv5-kuann1,,
鱼脯,hv5-pou2,,
鱼饭,hv5-png7,,
咸鱼,kiam5-hv5,,
龙虾,leng5-he5,,
虾米,he5-bi2,,
虾蛄,he5-kou1,皮皮虾,
鱿鱼,jiu5-hv5,,
染,ninn2,,
猴染,kau5-ninn2,,
墨斗,bak8-tau2,乌贼,
鱼子,hv5-tsi2,,
鱼春,hv5-tshun1,,
螺,lo5,,
田螺,tshan5-lo5,,
石螺,tsioh8-lo5,,
烟筒钗,in1-tang5-thoi1,海钉螺,
蚝,o5,牡蛎,
蚶,ham1,,
花蛤,hue1-kap4,,
花蚶,hue1-ham1,,
血蚶,hueh4-ham1,,
车白,tshia1-peh8,沙白,
沙白,tshia1-peh8,,
蚬,hoinn2,,
薄壳,poh8-khak4,,寻氏肌蛤
薄壳米,poh8-khak4-bi2,,
红肉,ang5-nek8,,红肉河蓝蛤
红肉米,ang5-nek8-bi2,,
紫菜,tsi2-tshai3,,
海带,hai2-tua3,,
鲎,hau7,,
蠘,tshih8,梭子蟹,
三目蠘,sann1-mak8-tshih8,,
田蟹,tshan5-hoi6,,
水蟹,tsui2-hoi6,,
青蟹,tshenn1-hoi6,,
毛蟹,mo5-hoi6,大闸蟹,
蟛蜞,phenn5-khi5,,
𰴕蟹,bih4-hoi6,蟛蜞,一种小型蟹
膏蟹,ko1-hoi6,,指蟹膏丰满的（雌）蟹
