teochew,puj,mandarin,note
蔬菜,so1-tshai3,,
羹菜,kenn1-tshai3,蔬菜,
荷兰薯,ho5-lan1-tsv5,土豆,
干筒,kan1-tang5,土豆,马来语 kentang
番薯,huan1-tsv5,,
番葛,huan1-kuah4,红薯,
番葛叶,huan1-kuah4-hioh8,红薯叶,
麦,beh8,小麦,
薏米,i2-bi2,玉米,
硕莪米,sia5-ngo5-bi2,玉米,原意西米，讹为玉米
荷兰豆,ho5-lan1-tau7,豌豆,
白菜,peh8-tshai3,,
菜花,tshai3-hue1,花菜,
菜头,tshai3-thau5,萝卜,
白菜头,peh8-tshai3-thau5,白萝卜,
红菜头,ang5-tshai3-thau5,红萝卜,
芥蓝,khah4-nann5,,
芥蓝花,khah4-nann5-hue1,芥蓝,
番茄,huan1-kio5,,
菠菱,pue1-leng5,菠菜,
蕹菜,eng3-tshai3,空心菜,
韭菜,ku1-tshai3,,
高丽,ko1-le6,包菜,
葱,tshang1,,
番葱,huan1-tshang1,洋葱,
大菜,tua7-tshai3,芥菜,
漱瓜,tshiu3-kue1,丝瓜,
吊瓜,tiau3-kue1,黄瓜,
冬瓜,tang1-kue1,,
角瓜,kak4-kue1,,
刺瓜,tshi3-kue1,,
荠葱,tshinn5-tshang1,荸荠,
苋菜,hoinn7-tshai3,,
莶椒,hiam1-tsio1,辣椒,
猴栗,kau5-lat8,板栗,
腐枝,hu7-ki1,腐竹,
豆干,tau7-kuann1,豆腐,
香腐,hiang1-hu7,豆腐干,
榄,lam2,乌榄,
咸菜,kiam5-tshai3,,
冬菜,tang2-tshai3,,
贡菜,kong3-tshai3,,
橄榄菜,kann1-nann2-tshai3,梅菜,
贡腐,kong3-hu7,腌豆腐,
菜脯,tshai3-pou2,萝卜干,
菜头槁,tshai3-thau5-khau2,干萝卜条,
地豆,ti7-tau7,花生,
豆芽,tau7-ge5,,
粉豆,hun2-tau7,豆角,
刀豆,to1-tau7,,
乌豆,ou1-tau7,黑豆,
红豆,ang5-tau7,,
绿豆,lek8-tau7,,
黄豆,ng5-tau7,,
玻璃菜,po1-li5-tshai3,生菜,
春菜,tshun1-tshai3,小芥菜,
芹菜,khvn5-tshai3,,
芫荽,uan5-sui1,香菜,
芋,ou7,芋头,
莲藕,noinn5-kau6,,
莲藕,noinn5-ngau6,,
莲藕,noinn5-nau6,,
奶瓜,ni1-kue1,木瓜,
笋,sun2,竹笋,
茼蒿,tang5-o1,,
芳菜,phang1-tshai3,油麦菜,
生菜,tshenn1-tshai3,,
姜,kionn1,,
东洋菜,tang1-ionn5-tshai3,西洋菜,
芦笋,lou5-sun2,,
百合,peh4-hah8,,
芡实,khiam6-sit8,,
苦瓜,khou2-kue1,,
茄,kio5,茄子,
番瓜,huan1-kue1,南瓜,
薄荷,po6-ho3,,
九层塔,kau2-tsan5-thah4,,
蒜,sng3,,
蒜白,sng3-peh8,蒜黄,
蒜头,sng3-thau5,,
木耳,bak8-jv2,,
香菇,hionn1-kou1,,
